設備ID,QR碼,滅火器類型,尺寸,位置,有效日期
FIREXT-A23-A1-01-1,eb683c52ea672e08,乾粉,20型,A23FA1區,2027/10/26
FIREXT-A23-A1-01-2,5893231083e5f3db,乾粉,20型,A23FA1區,2027/10/26
FIREXT-A23-A1-02-1,7614f244054f8cd7,乾粉,20型,A23FA1區,2027/10/26
FIREXT-A23-A1-03-1,9671b00af52bc6a9,乾粉,20型,A23FA1區,2027/10/26
FIREXT-A23-A2-01-1,3b71b550684ffcaf,乾粉,20型,A23FA2區,2027/10/26
FIREXT-A23-A2-01-2,06d5e7b3c42d2d2a,乾粉,20型,A23FA2區,2027/10/26
FIREXT-A23-A2-02-1,f7b6b3a496c2e3a1,乾粉,20型,A23FA2區,2027/10/26
FIREXT-A23-A2-03-1,19ce35c048474be6,乾粉,20型,A23FA2區,2027/10/26
FIREXT-A23-A3-01-1,f77fc33a1d8f5506,乾粉,20型,A23FA3區,2027/10/26
FIREXT-A23-A3-01-2,09dc386e3f2b47a2,乾粉,20型,A23FA3區,2027/10/26
FIREXT-A23-A3-02-1,9458bb0192480851,乾粉,20型,A23FA3區,2027/10/26
FIREXT-A23-A3-03-1,420452fee111eec1,乾粉,20型,A23FA3區,2027/10/26
FIREXT-A23-A3-04-1,125993134d66d9f0,乾粉,20型,A23FA3區,2027/10/26
FIREXT-A23-A4-01-1,31fb456782838263,乾粉,20型,A23FA4區,2027/10/26
FIREXT-A23-A4-01-2,d0e770520385f6a7,乾粉,20型,A23FA4區,2027/10/26
FIREXT-A23-A4-02-1,9da0b44f88ae74a2,乾粉,20型,A23FA4區,2027/10/26
FIREXT-A23-A4-03-1,4626b15a3f7430ce,乾粉,20型,A23FA4區,2027/10/26
FIREXT-A3-A1-01-1,17934855c5d0e4ba,乾粉,20型,A3FA1區,2027/10/28
FIREXT-A3-A1-02-1,ea583c44eb2d8489,乾粉,20型,A3FA1區,2027/10/28
FIREXT-A3-A1-03-1,78dc8f8a9528349c,乾粉,20型,A3FA1區,2027/10/28
FIREXT-A3-A1-04-1,e3039dc2c1bc3e32,乾粉,20型,A3FA1區,2027/10/28
FIREXT-A3-A1-05-1,84b8258f3de1c884,乾粉,20型,A3FA1區,2027/10/28
FIREXT-A3-A1-06-1,9c3574f1fa657a89,乾粉,20型,A3FA1區,2027/10/28
FIREXT-C8-C1-01-1,bef04a5f5896fab2,乾粉,20型,C8FC1區,2027/10/28
FIREXT-C8-C1-01-2,6b6094ae64acd8ac,乾粉,20型,C8FC1區,2027/10/28
FIREXT-C8-C1-02-1,b30c992be316b4b1,乾粉,20型,C8FC1區,2027/10/28
FIREXT-C8-C1-03-1,421efa8b522aee2f,乾粉,20型,C8FC1區,2027/10/28
FIREXT-C8-C1-04-1,91cfe5d04f21647a,乾粉,20型,C8FC1區,2027/10/28
FIREXT-C8-C1-05-1,134af45d8727516d,乾粉,20型,C8FC1區,2027/10/28
FIREXT-C8-C2-01-1,b7fcb25c17b4a4e1,乾粉,20型,C8FC2區,2027/10/28
FIREXT-C8-C2-01-2,7daff24c62d46380,乾粉,20型,C8FC2區,2027/10/28
FIREXT-C8-C2-02-1,dc70e9fa8d348f64,乾粉,20型,C8FC2區,2027/10/28
FIREXT-C8-C2-03-1,76a81838b09e802f,乾粉,20型,C8FC2區,2027/10/28
FIREXT-C8-C2-04-1,ac567f26fd1dad04,乾粉,20型,C8FC2區,2027/10/28
FIREXT-C8-C3-01-1,7dcc42dd714eb563,乾粉,20型,C8FC3區,2027/10/28
FIREXT-C8-C3-01-2,971b2ce7b90dff77,乾粉,20型,C8FC3區,2027/10/28
FIREXT-C8-C3-02-1,ab431987620bafbc,乾粉,20型,C8FC3區,2027/10/28
FIREXT-C8-C3-03-1,f7ccfc1036bd22cd,乾粉,20型,C8FC3區,2027/10/28
FIREXT-C8-C3-04-1,5ef5ec882004977b,乾粉,20型,C8FC3區,2027/10/28
FIREXT-C8-C3-05-1,cc8d0828decc26e2,乾粉,20型,CF8C3區,2027/10/28
FIREXT-C8-C3-06-1,614d042a4566433b,乾粉,20型,C8FC3區,2027/10/28
FIREXT-C8-C4-01-1,8564d31bcdb53ac8,乾粉,20型,C8FC4區,2027/10/28
FIREXT-C8-C4-01-2,26068e1772208efc,乾粉,20型,C8FC4區,2027/10/28
FIREXT-C8-C4-02-1,011d999f655883fe,乾粉,20型,C8FC4區,2027/10/28
FIREXT-C8-C4-03-1,8e3c2baf4751483c,乾粉,20型,C8FC4區,2027/10/28
FIREXT-C8-C4-04-1,5d0503f427813d0d,乾粉,20型,C8FC4區,2027/10/28
