設備ID,QR碼,長度,寬度,顏色
LABPOW-AB3-A1-01,1c523d2263a488f2,7cm,2cm,白色
LABPOW-AB3-A1-02,93ef40e1188795cf,7cm,2cm,白色
LABPOW-AB3-A1-03,079ce6e49b063c27,7cm,2cm,白色
LABPOW-AB3-A1-04,adb0d08bee1e38a3,7cm,2cm,白色
LABPOW-AB3-A1-05,51e09b92b260c693,7cm,2cm,白色
LABPOW-AB3-A1-06,7dd2777d169dc795,7cm,2cm,白色
LABPOW-AB3-A1-07,8e44ef35909e16b4,7cm,2cm,白色
LABPOW-AB3-A1-08,551c1667c64299a3,7cm,2cm,白色
LABPOW-AB3-A1-09,67319c6c59a97069,7cm,2cm,白色
LABPOW-AB3-A1-10,3f354540064fd0b9,7cm,2cm,白色
LABPOW-AB3-A1-11,cf9699b42dfd6228,7cm,2cm,白色
LABPOW-AB3-A1-12,6e624208c5934109,7cm,2cm,白色
LABPOW-AB3-A1-13,6da9a31a567b486f,7cm,2cm,白色
LABPOW-AB3-A1-14,4361643f333c0f0c,7cm,2cm,白色
LABPOW-AB3-A1-15,39a248624bc6f10d,7cm,2cm,白色
LABPOW-AB3-A1-16,557402e551e3abf4,7cm,2cm,白色
LABPOW-AB3-A1-17,95db62e061053622,7cm,2cm,白色
LABPOW-AB3-A1-18,e4fa35ea67df804c,7cm,2cm,白色
LABPOW-AB3-A1-19,27a1bcf4d6e43dd0,7cm,2cm,白色
LABPOW-AB3-A1-20,872ab9aed8acea6b,7cm,2cm,白色
LABPOW-AB3-A1-21,7930215ae9615a53,7cm,2cm,白色
LABPOW-AB3-A1-27,cf9d063e84c822fb,7cm,2cm,白色
LABPOW-AB3-A1-28,2f5594533cc063b4,7cm,2cm,白色
LABPOW-C2-C1-10,f6006cc5f85c5f90,7cm,2cm,白色
LABPOW-C2-C1-11,9a7f5721265e6da2,7cm,2cm,白色
LABPOW-C2-C1-12,20eebbbc69385a33,7cm,2cm,白色
LABPOW-C2-C1-13,1b60f2149352302d,7cm,2cm,白色
LABPOW-C2-C1-14,f5c39ca90c9dac02,7cm,2cm,白色
LABPOW-C2-C1-15,3b151cde3d02b225,7cm,2cm,白色
LABPOW-C2-C1-17,c2a3cda1b2f0c6b0,7cm,2cm,白色
LABPOW-C2-C1-18,0e2c0dd5b997be48,7cm,2cm,白色
LABPOW-C2-C1-19,b5e73e3dcdf363f8,7cm,2cm,白色
LABPOW-C3-C1-01,c76e50406b289e82,7cm,2cm,白色
LABPOW-C3-C1-02,23d6bbde3ba9ee4c,7cm,2cm,白色
LABPOW-C3-C1-03,ea9d5d55d6f7b9c7,7cm,2cm,白色
LABPOW-C3-C1-04,5ea5c264886e90b6,7cm,2cm,白色
LABPOW-C3-C1-05,63ce20847b6f97f3,7cm,2cm,白色
LABPOW-C3-C1-06,f675eef6a6152b98,7cm,2cm,白色
LABPOW-C3-C1-07,a25cedbed82c9f62,7cm,2cm,白色
LABPOW-C3-C1-08,d82e84e8762f7116,7cm,2cm,白色
LABPOW-C3-C1-09,72bd78a4c9bcca69,7cm,2cm,白色
LABPOW-C3-C1-10,c9d69e3ce69a261f,7cm,2cm,白色
LABPOW-C3-C1-12,2b81976efae78e64,7cm,2cm,白色
LABPOW-C3-C1-13,8e55070ca61014e0,7cm,2cm,白色
LABPOW-C3-C1-14,e8d7f1a394479805,7cm,2cm,白色
LABPOW-C3-C1-15,75c5819920fe4afb,7cm,2cm,白色
LABPOW-C3-C1-16,5cadd5de4d54b8f0,7cm,2cm,白色
LABPOW-C3-C1-18,d7be975925a6127a,7cm,2cm,白色
LABPOW-C3-C1-19,e537bccfb833c6a6,7cm,2cm,白色
LABPOW-C3-C1-20,ac475027774ca01e,7cm,2cm,白色
LABPOW-C3-C1-21,7089653a2a138bf8,7cm,2cm,白色
LABPOW-C3-C1-22,8ce65fa63e529e46,7cm,2cm,白色
LABPOW-C3-C1-23,33b8f95e6706db8a,7cm,2cm,白色
LABPOW-C3-C1-24,a90d4c7fbd3a9f49,7cm,2cm,白色
LABPOW-C3-C1-25,0909662d157b5b36,7cm,2cm,白色
LABPOW-C3-C1-26,e6e0a1d5808fadb3,7cm,2cm,白色
LABPOW-C3-C1-27,00a4cd7994ffc24a,7cm,2cm,白色
LABPOW-C7-C3C4-10,1bf46b4bbeead6c0,7cm,2cm,白色
LABPOW-C7-C3C4-11,6c736b76bfb60fcc,7cm,2cm,白色
LABPOW-C7-C3C4-13,48e3fdbfcfe4241b,7cm,2cm,白色
LABPOW-C7-C3C4-14,9ce483d9bf97ffad,7cm,2cm,白色
LABPOW-C7-C3C4-16,34212de96776463e,7cm,2cm,白色
LABPOW-C7-C3C4-17,a2d22bc7c02b4ca6,7cm,2cm,白色
LABPOW-C7-C3C4-18,614ceb83844e3969,7cm,2cm,白色
LABPOW-C7-C3C4-20,3702174054750d3e,7cm,2cm,白色
LABPOW-C7-C3C4-21,b7bec89ce34fa3e4,7cm,2cm,白色
LABPOW-C7-C3C4-23,fbc4323abb66691d,7cm,2cm,白色
LABPOW-C8-C3-03,cb675282edbb1f8c,7cm,2cm,白色
LABPOW-C8-C3-05,c0feb4d974966edd,7cm,2cm,白色
LABPOW-C8-C3-06,d1c501a916adc515,7cm,2cm,白色
LABPOW-C8-C3-07,cb7fabb55a15d4c5,7cm,2cm,白色
LABPOW-C8-C3-08,41dbc01b7f7d3c5b,7cm,2cm,白色
LABPOW-C8-C3-10,4c3a2936a8053b95,7cm,2cm,白色
LABPOW-C8-C3-11,c92fe45010cea538,7cm,2cm,白色
LABPOW-C8-C3-13,f938425a2c249fcc,7cm,2cm,白色
LABPOW-C8-C3-14,36dac259083b1d3b,7cm,2cm,白色
LABPOW-C8-C3-15,1a115f9ebe73a5ac,7cm,2cm,白色
