檢查項目,欄位類型,說明,合格條件,不合格條件,必填
送風機馬達接線端子是否正常,布林,檢查送風機馬達接線端子是否正常,接線端子正常,接線端子異常,是
送風機馬達是否完成外部檢查,布林,檢查送風機馬達是否完成外部檢查,已完成外部檢查,未完成外部檢查,是
送風機馬達軸心是否正常,布林,檢查送風機馬達軸心是否正常,軸心正常,軸心異常,是
水盤污垢是否清潔,布林,檢查水盤污垢是否清潔,水盤已清潔,水盤有污垢,是
排水管路是否清理,布林,檢查排水管路是否清理,排水管路已清理,排水管路未清理,是
送風機濾網是否清洗,布林,檢查送風機濾網是否清洗,濾網已清洗,濾網未清洗,是
回風口格網是否清洗,布林,檢查回風口格網是否清洗,格網已清洗,格網未清洗,是
送風機濾網、回風口格網乾燥是否處理,布林,檢查濾網和格網是否乾燥處理,已乾燥處理,未乾燥處理,是
新鮮空氣風車馬達接線端子是否正常,布林,檢查新鮮空氣風車馬達接線端子是否正常,接線端子正常,接線端子異常,是
新鮮空氣風車馬達外部是否正常,布林,檢查新鮮空氣風車馬達外部是否正常,外部正常,外部異常,是
新鮮空氣風車馬達軸心是否正常,布林,檢查新鮮空氣風車馬達軸心是否正常,軸心正常,軸心異常,是
新鮮空氣風車馬達外殼及葉片是否完成檢查,布林,檢查馬達外殼及葉片是否完成檢查,已完成檢查,未完成檢查,是
新鮮空氣風車風量是否正常,布林,檢查新鮮空氣風車風量是否正常,風量正常,風量異常,是
新鮮風車濾網是否清洗,布林,檢查新鮮風車濾網是否清洗,濾網已清洗,濾網未清洗,是
其他與問題描述,簡答,記錄其他異常情況或問題描述,,-,否
