設備ID,QR碼,長度,寬度,顏色
FIRD-A23-A1-01,6ae58265e57564c8,7cm,2cm,白色
FIRD-A23-A2-01,eb8d500f43f50154,7cm,2cm,白色
FIRD-A23-A3-01,55f36199d3a97577,7cm,2cm,白色
FIRD-A23-A4-01,e2c12f14cf232e23,7cm,2cm,白色
FIRD-A3-A1-01,4893dae860e39e92,7cm,2cm,白色
FIRD-C2-C1-01,319a46e6cc3ee662,7cm,2cm,白色
FIRD-C2-C1-02,b5e19f85dded94b7,7cm,2cm,白色
FIRD-C7-C1-01,64ef760e8ab7b02d,7cm,2cm,白色
FIRD-C7-C3-01,b2efcf8eb3d5437d,7cm,2cm,白色
FIRD-C7-C4-01,d05e5e533e07b404,7cm,2cm,白色
FIRD-C8-C1-01,a11369014ed6c5f0,7cm,2cm,白色
FIRD-C8-C2-01,6053066bf768de89,7cm,2cm,白色
FIRD-C8-C3-01,b00ce76d755529dd,7cm,2cm,白色
FIRD-C8-C4-01,c7abd1ecd871217e,7cm,2cm,白色
FIRD-C23-C1-01,f9ff853bea934381,7cm,2cm,白色
FIRD-C23-C2-01,2f9cfd68c2ac0915,7cm,2cm,白色
FIRD-C24-C1-01,3bd75887e0a33516,7cm,2cm,白色
FIRD-C24-C2-01,61fc5dabcff8eb9d,7cm,2cm,白色
FIRD-C26-C1-01,ef36e5505b5d2291,7cm,2cm,白色
FIRD-C26-C2-01,f6a22bbe47ff63b4,7cm,2cm,白色
FIRD-C26-C3-01,b796749cf34b530f,7cm,2cm,白色
FIRD-C26-C4-01,f46d53b795ff6030,7cm,2cm,白色
