 編碼顯示,亂碼,顯示名稱,長度,寬度,顏色 
OFA-A23-A2-02,f49e2d641253ecd2,事務機巡檢作業 ,7cm,2cm,透明
OFA-A23-A1-01,30cf77bf1c6c3240,清潔巡檢作業,7cm,2cm,透明
OFA-A23-A2-01,4f32ae0006ecb317,清潔巡檢作業,7cm,2cm,透明
OFA-A23-A3-01,7bbc01c6550b4dbe,清潔巡檢作業,7cm,2cm,透明
OFA-A23-A4-01,e221797af61a3b38,清潔巡檢作業,7cm,2cm,透明
OFA-A3-A1-01,298b737b6a7b07d3,清潔巡檢作業,7cm,2cm,透明
OFA-AB3-A1-01,9caf419146c7ad4a,清潔巡檢作業,7cm,2cm,透明
OFA-C2-C1-01,806ae1714c501217,清潔巡檢作業,7cm,2cm,透明
OFA-C3-C1-01,9229c950c3c9954d,清潔巡檢作業,7cm,2cm,透明
OFA-C7-C1-01,ca5337e24b5a8832,清潔巡檢作業,7cm,2cm,透明
OFA-C7-C3-01,7d738ec8bcbd7cce,清潔巡檢作業,7cm,2cm,透明
OFA-C7-C4-01,41c8bb8e34aa53ea,清潔巡檢作業,7cm,2cm,透明
OFA-C8-C1-01,6c5bfe92b969e42e,清潔巡檢作業,7cm,2cm,透明
OFA-C8-C2-01,2967ee99a84ef34d,清潔巡檢作業,7cm,2cm,透明
OFA-C8-C3-01,e777d37b6ade6f02,清潔巡檢作業,7cm,2cm,透明
OFA-C8-C4-01,7e782f0fba906df3,清潔巡檢作業,7cm,2cm,透明
OFA-C23-C1-01,616ccca058a3f3d2,清潔巡檢作業,7cm,2cm,透明
OFA-C23-C2-01,fb562a76be67dc14,清潔巡檢作業,7cm,2cm,透明
OFA-C24-C1-01,2d9ce15a9f8a0893,清潔巡檢作業,7cm,2cm,透明
OFA-C24-C2-01,0b793a2d330193d3,清潔巡檢作業,7cm,2cm,透明
OFA-C26-C1-01,6048c86759557e01,清潔巡檢作業,7cm,2cm,透明
OFA-C26-C2-01,d116bdf4b3b9df5f,清潔巡檢作業,7cm,2cm,透明
OFA-C26-C3-01,984de6786769d99b,清潔巡檢作業,7cm,2cm,透明
OFA-C26-C4-01,6c6da1417ae36d35,清潔巡檢作業,7cm,2cm,透明
MEE-A23-A1-01,d18701107a5b5613,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A1-02,383c31b9c3aad16b,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A2-01,dba329176122f4c3,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A2-02,fb12817c3c3d154e,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A2-03,604444ee05e38d46,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A2-04,43b2530334486456,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A3-01,bf8bad006e633b97,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A3-02,b051cd8b14f61414,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A3-03,0f1c270b4ff0b633,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A3-04,617c71b15e0f91ad,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A3-05,59738094838837c6,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A3-06,174346bab674f449,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A4-01,07584e7b1496dadd,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A4-02,1ee0925eacfb603b,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A4-03,68d2c447e5d5d04d,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A4-04,8f04a29bf48ad035,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A4-05,0699ff7d8a29e43e,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A4-06,85ac6d81b08b4555,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A4-07,c6733feb0f25b920,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A4-08,bb1bb5074268c6d3,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A4-09,af8365d23cd0ea68,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A4-10,453caf35e15cceb0,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A4-11,e792e8396b63565e,會議室巡檢作業,7cm,2cm,透明
MEE-A23-A4-12,0f4e290c478dea96,會議室巡檢作業,7cm,2cm,透明
MEE-C24-C1-01,6c9fe60084105c6a,會議室巡檢作業,7cm,2cm,透明
MEE-C24-C1-02,67092e9b55c6fc8b,會議室巡檢作業,7cm,2cm,透明
MEE-C24-C1-03,f8d9a39f2debb953,會議室巡檢作業,7cm,2cm,透明
MEE-C24-C1-04,54d95e136849e551,會議室巡檢作業,7cm,2cm,透明
MEE-C24-C1-05,580bd822cf92e9c0,會議室巡檢作業,7cm,2cm,透明
MEE-C24-C2-01,98f00d87628d4321,會議室巡檢作業,7cm,2cm,透明
MEE-C24-C2-02,16621f5eeb2e6db7,會議室巡檢作業,7cm,2cm,透明
MEE-C24-C2-03,fd5a1248265f76fb,會議室巡檢作業,7cm,2cm,透明
MEE-C24-C2-04,d78bc4a07de55678,會議室巡檢作業,7cm,2cm,透明
MEE-C24-C2-05,89f77e3ad545c20c,會議室巡檢作業,7cm,2cm,透明
MEE-C24-C2-06,f345a135ab0ac90d,會議室巡檢作業,7cm,2cm,透明
MEE-C24-C2-07,913261ce3962579f,會議室巡檢作業,7cm,2cm,透明
MEE-C24-C2-08,df90af3bccbe78d8,會議室巡檢作業,7cm,2cm,透明
MEE-C24-C2-09,89c178f4736aac81,會議室巡檢作業,7cm,2cm,透明
